gene_id,S2-12h,S2-24h,S2-Oh,S3-12h,S3-24h,S3-Oh,W2-12h,W2-24h,W2-Oh,W3-12h,W3-24h,W3-Oh
gene:Zm00001d010104,119,144,279,167,125,101,79,136,118,83,126,112
gene:Zm00001d049921,502,500,725,766,285,267,626,232,278,379,387,319
gene:Zm00001d010106,0,0,0,0,0,0,0,0,1,0,0,1
gene:Zm00001d010107,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d049925,105,20,241,291,180,377,52,28,14,90,36,87
gene:Zm00001d049926,211,153,624,585,281,386,453,221,223,158,175,233
gene:Zm00001d049927,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d049928,3548,4093,6283,4257,4311,4386,2730,3178,2395,2045,3286,3235
gene:Zm00001d049929,1477,1794,6070,3240,2088,4264,2027,1536,2516,1329,2414,3803
gene:Zm00001d010108,3,0,44,0,10,0,3,0,0,3,0,0
gene:Zm00001d010109,2524,3821,5275,3004,2285,2400,2102,2030,2198,1115,2590,2349
gene:Zm00001d023700,0,0,11,0,0,0,0,0,12,0,0,0
gene:Zm00001d023701,0,3,8,0,0,0,0,0,0,0,0,0
gene:Zm00001d023702,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d023703,0,0,5,0,0,0,0,0,0,0,0,0
gene:Zm00001d023704,261,127,223,0,0,57,247,361,239,82,326,271
gene:Zm00001d023705,12,0,0,0,0,11,17,8,10,6,18,31
gene:Zm00001d023706,4156,6068,8241,4394,5392,4695,3775,4610,3849,1757,5506,5063
gene:Zm00001d023707,5781,2554,16116,3418,3838,6237,5136,5242,3391,6723,4072,8559
gene:Zm00001d023709,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d044678,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d010101,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d000286,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d000287,0,0,2,0,0,0,0,0,0,0,0,0
gene:Zm00001d000284,1,0,1,0,0,1,0,0,1,1,1,1
gene:Zm00001d000285,0,1,0,1,0,1,0,1,0,0,0,0
gene:Zm00001d000282,246,63,196,115,128,0,140,0,126,0,0,0
gene:Zm00001d000283,277,142,301,207,264,305,246,180,178,258,285,349
gene:Zm00001d000280,80,79,131,71,80,91,52,82,28,59,33,59
gene:Zm00001d000281,104,110,239,123,173,176,111,138,45,90,79,122
gene:Zm00001d010103,17,38,87,21,22,13,11,34,42,18,48,0
gene:Zm00001d000288,303,409,668,207,176,368,778,1584,1005,368,1040,749
gene:Zm00001d018470,2624,112,658,3375,299,712,3199,173,244,2715,334,513
gene:Zm00001d018471,406,634,751,1306,710,809,704,1117,864,384,1341,788
gene:Zm00001d018472,304,342,842,1697,778,1040,954,321,721,441,1275,1627
gene:Zm00001d018473,609,1656,1725,3413,1287,1165,691,738,1463,572,2029,1384
gene:Zm00001d018474,1310,453,6035,3626,2438,6357,2587,798,2155,1118,2906,3122
gene:Zm00001d018475,541,443,751,735,519,507,584,814,309,601,546,1055
gene:Zm00001d018476,0,0,0,0,0,0,0,0,0,0,1,0
